Track Name,Artist Name(s),Status,Instrumental
,,erro_400,False
,,erro_400,False
Seven Seas Of Rhye - Remastered 2011,Queen,erro_503,False
Fool,Fitz and The Tantrums,erro_503,False
Dance on Your Body,Lab Grown Music,nao_encontrada,False
Love Train,The O'Jays,erro_503,False
Wonders Of Nature (AGST Remix),Ten Towers;AGST,nao_encontrada,False
So Am I,Ava Max,erro_503,False
Giant (with Rag'n'Bone Man),Calvin Harris;Rag'n'Bone Man,erro_503,False
Friends,Hyper Potions,encontrada,True
Fighting Gold,bear;NEO,nao_encontrada,False
Roundabout,Yes,erro_503,False
Last Train Home,Pat Metheny Group,encontrada,True
Jojo Sono Chino Sadame,Hiroaki Tommy Tominaga,erro_503,False
Wolves,Selena Gomez;Marshmello,erro_503,False
19-2000,Gorillaz;Miho Hatori;Tina Weymouth,erro_503,False
"Quiet's Theme (from ""Metal Gear Solid V: Phantom Pain"") - Cover Version",Sofa Sounds,nao_encontrada,False
Girls Like You (feat. Cardi B) - Cardi B Version,Maroon 5;Cardi B,erro_503,False
O Segundo Sol - Acoustic,Cássia Eller,nao_encontrada,False
Now That This Old World Is Ending,Dan Romer,encontrada,True
Fast Car,Jonas Blue;Dakota,erro_503,False
"Take Me Home, Country Roads - Rerecorded",John Denver,erro_503,False
"Bella Ciao (feat. Andre Sarate, Adolfo Celdran)",Alok;Jetlag Music;André Sarate;Adolfo Celdran,nao_encontrada,False
Fuego,Alok;Bhaskar,encontrada,True
Can't Help It,Alyen,nao_encontrada,False
Never Let Me Go,Alok;Bruno Martini;Zeeba,erro_503,False
My Life Is Going On - Música Original De La Serie De TV La Casa De Papel / Money Heist,Cecilia Krull,erro_503,False
Firestone,Kygo;Conrad Sewell,erro_503,False
First Time,Kygo;Ellie Goulding,erro_503,False
Mr. Sandman,The Chordettes,erro_503,False
The Lotto,Ingrid Michaelson;AJR,erro_503,False
It Ain't Me (with Selena Gomez),Kygo;Selena Gomez,erro_503,False
Heroes (we could be),Alesso,erro_503,False
I Could Be The One (Avicii Vs. Nicky Romero) - Nicktim / Radio Edit,Avicii;Nicky Romero,erro_503,False
Polaroid,Imagine Dragons,erro_503,False
Glorious (feat. Skylar Grey),Macklemore;Skylar Grey,erro_503,False
Upside Down,Jack Johnson,erro_503,False
Bad,U2,erro_503,False
Sunday Bloody Sunday - Remastered 2008,U2,erro_503,False
I Want To Break Free - Single Remix,Queen,erro_503,False
Flash - Remastered 2011,Queen,erro_503,False
Sorry Not Sorry,Demi Lovato,erro_503,False
Blue (Da Ba Dee) - Gabry Ponte Ice Pop Radio,Eiffel 65;Gabry Ponte,erro_503,False
Somewhere Only We Know,Lily Allen,erro_503,False
The Man Who Sold The World,Midge Ure,erro_503,False
Life Goes On - Ryan Riback Remix,Fergie;Ryan Riback,nao_encontrada,False
Mozart's House (feat. Love Ssega),Clean Bandit;Love Ssega,erro_503,False
Routine,Alan Walker;David Whistle,erro_503,False
Shots,Imagine Dragons,erro_503,False
Good Life (with G-Eazy & Kehlani),G-Eazy;Kehlani,erro_503,False
I Will Wait,Mumford & Sons,erro_503,False
